央视频道,#genre#
贵州卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
吉林卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8

安徽卫视,http://119.166.185.152:8888/udp/239.253.254.87:8000
北京卫视,http://119.166.185.152:8888/udp/239.253.254.85:8000
东方卫视,http://119.166.185.152:8888/udp/239.253.254.86:8000
东南卫视,http://119.166.185.152:8888/udp/239.253.254.105:8000
甘肃卫视,http://119.166.185.152:8888/udp/239.253.254.74:8000
广东卫视,http://119.166.185.152:8888/udp/239.253.254.90:8000
广西卫视,http://119.166.185.152:8888/udp/239.253.254.197:8000
贵州卫视,http://119.166.185.152:8888/udp/239.253.254.113:8000
海南卫视,http://119.166.185.152:8888/udp/239.253.254.179:8000
河北卫视,http://119.166.185.152:8888/udp/239.253.254.112:8000
河南卫视,http://119.166.185.152:8888/udp/239.253.254.190:8000
黑龙江卫视,http://119.166.185.152:8888/udp/239.253.254.93:8000
湖北卫视,http://119.166.185.152:8888/udp/239.253.254.88:8000
湖南卫视,http://119.166.185.152:8888/udp/239.253.254.82:8000
吉林卫视,http://119.166.185.152:8888/udp/239.253.254.173:8000
江苏卫视,http://119.166.185.152:8888/udp/239.253.254.83:8000
江西卫视,http://119.166.185.152:8888/udp/239.253.254.47:8000
辽宁卫视,http://119.166.185.152:8888/udp/239.253.254.92:8000
青海卫视,http://119.166.185.152:8888/udp/239.253.254.195:8000
山东卫视,http://119.166.185.152:8888/udp/239.253.254.78:8000
深圳卫视,http://119.166.185.152:8888/udp/239.253.254.91:8000
四川卫视,http://119.166.185.152:8888/udp/239.253.254.180:8000
天津卫视,http://119.166.185.152:8888/udp/239.253.254.89:8000
